id	parent	name
1	none BRAINMETA
2	1	RESPONSE_INHIBITION
3	1	RISK_SEEKING
4	2	DS000009
5	2	DS000008
6	3	DS000001
7	4	EXPLODE
8	4	ACCEPT
9	4	ALL
10	4	ACCEPT_VS_REJECT
11	4	REJECT
12	5	GO
13	5	SUCCESS_STOP
14	5	UNSUCCESS_MINUS_SUCCESS_STOP
16	5	FAILED_STOP
17	5	SUCCESS_MINUS_GO
18	5	ALL
19	5	JUNK
20	6	PUMPS_FIXED_RT
21	6	CASH_FIXED_REAL_RT
22	6	CASH_FIXED
23	6	EXPLODE
24	6	PUMPS_FIXED
25	6	CONTROL_PUMPS_FIXED_RT
26	6	PUMPS_DEMEAN
27	6	CONTROL_PUMPS_FIXED
28	6	PUMPS_REAL_RT_MINUS_CTRL_REAL_RT
29	6	PUMPS_DEMEAN_MINUS_CTRL_DEMEAN
30	6	CASH_DEMEAN
31	6	CTRL_FIXED_MINUS_PUMPS_FIXED
33	6	ALL
36	6	CTRL_PUMPS_DEMEAN
37	6	CTRL_REAL_RT_MINUS_PUMPS_REAL_RT
38	6	PUMPS_FIXED_MINUS_CTRL_FIXED
39	6	CTRL_DEMEAN_MINUS_PUMPS_DEMEAN
40	6	PUMPS_FIXED_REAL_RT
41	40	task001_003_pumps_fixed_real_RT.nii.gz:000116.nii.gz
42	21	task001_006_cash_fixed_real_RT.nii.gz:000117.nii.gz	
43	22	task001_004_cash_fixed.nii.gz:000118.nii.gz
44	23	task001_007_explode_fixed.nii.gz:000119.nii.gz
45	24	task001_001_pumps_fixed.nii.gz:000120.nii.gz
46	25	task001_011_control_pumps_fixed_real_RT.nii.gz:000121.nii.gz
47	26	task001_002_pumps_demean.nii.gz:000122.nii.gz
48	27	task001_009_control_pumps_fixed.nii.gz:000123.nii.gz
49	29	task001_017_pumps_demean_minus_ctrl_demean.nii.gz:000124.nii.gz
50	30	task001_005_cash_demean.nii.gz:000125.nii.gz
51	31	task001_013_ctrl_fixed_minus_pumps_fixed.nii.gz:000126.nii.gz
52	28	task001_015_pumps_realRT_minus_ctrl_realRT.nii.gz:000127.nii.gz
53	33	task001_012_all.nii.gz:000129.nii.gz
32	36	task001_010_control_pumps_demean.nii.gz:000130.nii.gz
34	37	task001_016_ctrl_realRT_minus_pumps_realRT.nii.gz:000131.nii.gz	
35	38	task001_018_pumps_fixed_minus_ctrl_fixed.nii.gz:000132.nii.gz
54	39	task001_014_ctrl_demean_minus_pumps_demean.nii.gz:000115.nii.gz
15	12	task001_001_go.nii.gz:000143.nii.gz
55	13	task002_002_successful_stop.nii.gz:000144.nii.gz	
56	14	task001_006_unsucc_minus_succ_stop.nii.gz:000145.nii.gz
57	16	task001_003_failed_stop.nii.gz:000146.nii.gz
58	16	task002_003_failed_stop.nii.gz:000149.nii.gz
59	13	task001_002_successful_stop.nii.gz:000147.nii.gz
60	14	task002_006_unsucc_minus_succ_stop.nii.gz:000150.nii.gz
61	12	task002_001_go.nii.gz:000148.nii.gz
62	17	task001_007_succstop_minus_go.nii.gz:000151.nii.gz
63	17	task002_007_succstop_minus_go.nii.gz:000155.nii.gz
64	18	task001_005_all.nii.gz:000152.nii.gz
65	18	task002_005_all.nii.gz:000154.nii.gz
66	19	task002_004_junk.nii.gz:000142.nii.gz
67	19	task001_004_junk.nii.gz:000153.nii.gz
68	7	task004_002_explode.nii.gz:000446.nii.gz
69	7	task001_002_explode.nii.gz:000447.nii.gz
70	8	task002_001_accept.nii.gz:000448.nii.gz
71	8	task004_001_accept.nii.gz:000450.nii.gz
72	8	task001_001_accept.nii.gz:000463.nii.gz
73	8	task001_001_accept.nii.gz:000463.nii.gz
74	9	task002_004_all.nii.gz:000449.nii.gz
75	9	task001_004_all.nii.gz:000456.nii.gz
76	9	task003_004_all.nii.gz:000460.nii.gz
77	9	task004_004_all.nii.gz:000462.nii.gz
78	10	task003_005_accept_vs_reject.nii.gz:000451.nii.gz
79	10	task001_005_accept_vs_reject.nii.gz:000453.nii.gz
80	10	task002_005_accept_vs_reject.nii.gz:000454.nii.gz
81	10	task004_005_accept_vs_reject.nii.gz:000458.nii.gz
82	7	task003_002_explode.nii.gz:000461.nii.gz
83	7	task002_002_explode.nii.gz:000465.nii.gz
84	11	task002_003_reject.nii.gz:000452.nii.gz
85	11	task004_003_reject.nii.gz:000455.nii.gz
86	11	task003_003_reject.nii.gz:000457.nii.gz
87	11	task001_003_reject.nii.gz:000459.nii.gz
